trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
71,False,"{'a': 0.01, 'e': 0.7583618759905082}",25,0,-224.59972037505108,"{0: 12, 1: 3, 2: 4, 3: 3, 4: 3}",0
72,False,"{'a': 0.01, 'e': 0.751805729140895}",20,3,11.660188999011243,"{0: 15, 1: 2, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.01, 'e': 0.7451744023448704}",20,0,-75.0236796536598,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
74,False,"{'a': 0.01, 'e': 0.7384685587295879}",25,11,-20.17735473783464,"{0: 10, 1: 0, 2: 4, 3: 0, 4: 0}",1
75,False,"{'a': 0.01, 'e': 0.7316888688738209}",30,4,-54.77426007800472,"{0: 19, 1: 2, 2: 3, 3: 2, 4: 0}",1
76,False,"{'a': 0.01, 'e': 0.7248360107409052}",25,0,-95.75480512572186,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
77,False,"{'a': 0.01, 'e': 0.7179106696109434}",25,0,-122.44396447491309,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
78,False,"{'a': 0.01, 'e': 0.7109135380122773}",20,0,-32.43985278073061,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
79,False,"{'a': 0.01, 'e': 0.7038453156522362}",20,0,-43.37868725917297,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
80,False,"{'a': 0.01, 'e': 0.6967067093471655}",20,0,-49.99325674336254,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
81,False,"{'a': 0.01, 'e': 0.6894984329517471}",20,3,-55.495335519310345,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 1}",1
82,False,"{'a': 0.01, 'e': 0.6822212072876136}",30,0,-33.19152143170249,"{0: 24, 1: 0, 2: 6, 3: 0, 4: 0}",0
83,False,"{'a': 0.01, 'e': 0.6748757600712672}",30,10,-23.87087581819686,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",1
84,False,"{'a': 0.01, 'e': 0.6674628258413082}",25,0,-51.43902270024524,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
85,False,"{'a': 0.01, 'e': 0.6599831458849822}",25,0,-77.32328931431239,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
86,False,"{'a': 0.01, 'e': 0.6524374681640519}",20,0,-83.50883585675471,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
87,False,"{'a': 0.01, 'e': 0.6448265472400012}",25,6,-75.02921119124586,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 1}",1
88,False,"{'a': 0.01, 'e': 0.6371511441985802}",25,5,-1.5085000961613,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",1
89,False,"{'a': 0.01, 'e': 0.6294120265736969}",20,0,1.7502114437328333,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
90,False,"{'a': 0.01, 'e': 0.6216099682706645}",30,4,-77.43935747890202,"{0: 19, 1: 0, 2: 6, 3: 0, 4: 1}",1
91,False,"{'a': 0.01, 'e': 0.6137457494888116}",25,0,-56.45371964723268,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
92,False,"{'a': 0.01, 'e': 0.6058201566434629}",20,0,-85.59585853740954,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
93,False,"{'a': 0.01, 'e': 0.5978339822872982}",20,8,3.6393235000798505,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.01, 'e': 0.5897880250310983}",20,9,-73.43153647158036,"{0: 7, 1: 2, 2: 0, 3: 0, 4: 2}",1
